Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.01    0.04   44009/44015       restore [62]
                0.00    0.04   44009/44015       save [65]
                0.02    0.00   44021/44021       sclex [70]
                0.00    0.01   21811/48099       regMakeSymbol [75]
                0.00    0.00   11092/75466       regCopy [67]
                0.00    0.00   11092/247020      regMakeNull [58]
                0.00    0.00       3/22057       listSetCdr [8]
                0.00    0.00      18/6261        regMakeNumber [97]
                0.00    0.00       3/7           regMakeString [147]
                0.00    0.00       2/2           regMakeEOF [158]
-----------------------------------------------
                0.00    0.00       1/33303       snoc_if [106]
                0.00    0.12     385/33303       executeOperands [52]
                0.00   10.16   32917/33303       scparse [6]
[7]     81.9    0.00   10.28   33303         snoc [7]
                0.42    9.80   22054/22057       listSetCdr [8]
                0.00    0.03   33303/93860       cons [59]
                0.00    0.01   33303/199850      regFreeTemp [61]
                0.00    0.01   33303/247020      regMakeNull [58]
                0.01    0.00   33303/199850      regGetTemp [63]
                0.00    0.00   11249/75466       regCopy [67]
                0.00    0.00   33303/10530672     regIsNull [32]
-----------------------------------------------
                0.00    0.00       3/22057       scparse [6]
                0.42    9.80   22054/22057       snoc [7]
[8]     81.4    0.42    9.80   22057         listSetCdr [8]
                0.47    8.21 19487685/20287929     regCdr [9]
                0.10    0.96 9754871/10530672     regIsNull [32]
                0.01    0.01   44114/75466       regCopy [67]
                0.00    0.01   44114/199850      regFreeTemp [61]
                0.00    0.01   22057/27382       regSetCdr [72]
                0.01    0.00   44114/199850      regGetTemp [63]
-----------------------------------------------
                0.00    0.00       5/20287929     popInputPort [140]
                0.00    0.00       6/20287929     executeSave [129]
                0.00    0.00       6/20287929     executeRestore [128]
                0.00    0.00      26/20287929     executeTest [41]
                0.00    0.00      78/20287929     executePerform [23]
                0.00    0.00      79/20287929     executeGoto [99]
                0.00    0.00     136/20287929     executeConstant [109]
                0.00    0.00     162/20287929     regExpGetRegister [110]
                0.00    0.00     186/20287929     executeOperationExp [16]
                0.00    0.00     211/20287929     assembleSource [39]
                0.00    0.00     290/20287929     executeLabel [107]
                0.00    0.00     300/20287929     executeAssign [21]
                0.00    0.00     369/20287929     advancePC [112]
                0.00    0.00     372/20287929     getPrimitive [108]
                0.00    0.00     383/20287929     checkArgs [104]
                0.00    0.00     385/20287929     executeOperands [52]
                0.00    0.00     502/20287929     executeRegisterExp [102]
                0.00    0.00     892/20287929     assembleTarget [35]
                0.00    0.00    2173/20287929     assembleOperation [77]
                0.00    0.00    2173/20287929     assembleOperationExp [48]
                0.00    0.00    2775/20287929     assembleInput [50]
                0.00    0.00    3456/20287929     assembleInputs [49]
                0.00    0.00    5333/20287929     extractLabels [69]
                0.00    0.00   11513/20287929     assembleInstructions [25]
                0.00    0.02   44017/20287929     restore [62]
                0.02    0.31  724416/20287929     lookupLabel [30]
                0.47    8.21 19487685/20287929     listSetCdr [8]
[9]     72.0    0.49    8.55 20287929         regCdr [9]
                0.41    5.15 20287966/22288785     regWrite [10]
                0.18    1.43 20287966/34244097     regRead [18]
                0.44    0.93 20287966/20288349     objCdr [27]
-----------------------------------------------
                0.00    0.00       1/22288785     regMakeOutputPort [169]
                0.00    0.00       2/22288785     regMakeEOF [158]
                0.00    0.00       4/22288785     regMakeCharacter [150]
                0.00    0.00       6/22288785     regMakeInputPort [149]
                0.00    0.00       7/22288785     regMakeString [147]
                0.00    0.00      28/22288785     regMakeBoolean [135]
                0.00    0.00     334/22288785     regVectorRef [111]
                0.00    0.00    2270/22288785     regMakePrimitive [100]
                0.00    0.00    6261/22288785     regMakeNumber [97]
                0.00    0.01   48283/22288785     regMakeSymbol [75]
                0.00    0.01   53486/22288785     regCopy [67]
                0.00    0.02   94322/22288785     cons [59]
                0.00    0.06  247186/22288785     regMakeNull [58]
                0.03    0.39 1548629/22288785     regCar [36]
                0.41    5.15 20287966/22288785     regCdr [9]
[10]    48.7    0.45    5.66 22288785         regWrite [10]
                0.78    4.88 22288787/22288950     objVectorSet [11]
-----------------------------------------------
                0.00    0.00     163/22288950     regVectorSet [115]
                0.78    4.88 22288787/22288950     regWrite [10]
[11]    45.1    0.78    4.88 22288950         objVectorSet [11]
                0.26    4.30 22288950/22288950     vecSet [12]
                0.17    0.00 22288950/56533381     objGetVector [43]
                0.15    0.00 22288950/56533381     vecCheckIndex [44]
-----------------------------------------------
                0.26    4.30 22288950/22288950     objVectorSet [11]
[12]    36.3    0.26    4.30 22288950         vecSet [12]
                0.69    3.61 22288950/22919160     memWrite [13]
-----------------------------------------------
                0.00    0.00   14178/22919160     regSetCar [83]
                0.00    0.00   27388/22919160     regSetCdr [72]
                0.01    0.03  188644/22919160     cons [59]
                0.01    0.06  400000/22919160     memClear [55]
                0.69    3.61 22288950/22919160     vecSet [12]
[13]    35.2    0.71    3.71 22919160         memWrite [13]
                0.70    1.87 22919160/22945493     objIsEq [19]
                0.53    0.13 22503758/22503759     objUnref <cycle 1> [38]
                0.35    0.13 22503758/22503758     objRef [42]
-----------------------------------------------
                0.00    3.56       4/4           loadFile [2]
[14]    28.4    0.00    3.56       4         executeInstructions [14]
                0.00    3.56     448/448         executeInstruction [15]
                0.00    0.00     448/1548203     regCar [36]
                0.00    0.00     452/10530672     regIsNull [32]
                0.00    0.00       4/75466       regCopy [67]
                0.00    0.00       4/199850      regFreeTemp [61]
                0.00    0.00       4/199850      regGetTemp [63]
-----------------------------------------------
                0.00    3.56     448/448         executeInstructions [14]
[15]    28.4    0.00    3.56     448         executeInstruction [15]
                0.00    1.57     150/150         executeAssign [21]
                0.00    1.49      78/78          executePerform [23]
                0.00    0.50      26/26          executeTest [41]
                0.00    0.00     448/5777        isAssign [76]
                0.00    0.00     298/3589        isPerform [84]
                0.00    0.00      72/79          executeGoto [99]
                0.00    0.00     220/3408        isTest [85]
                0.00    0.00     194/3029        isBranch [87]
                0.00    0.00     168/2650        isGoto [88]
                0.00    0.00      96/2039        isSave [89]
                0.00    0.00      90/1654        isRestore [93]
                0.00    0.00     350/369         advancePC [112]
                0.00    0.00      26/26          executeBranch [117]
                0.00    0.00       6/6           executeRestore [128]
                0.00    0.00       6/6           executeSave [129]
-----------------------------------------------
                0.00    0.50      26/186         executeTest [41]
                0.00    1.49      78/186         executePerform [23]
                0.00    1.57      82/186         executeSource [22]
[16]    28.4    0.00    3.56     186         executeOperationExp [16]
                0.00    3.43       2/2           read_if [17]
                0.00    0.12     186/186         executeOperands [52]
                0.00    0.00       1/1           snoc_if [106]
                0.00    0.00     186/186         getPrimitive [108]
                0.00    0.00     744/199850      regFreeTemp [61]
                0.00    0.00     744/199850      regGetTemp [63]
                0.00    0.00       2/2           isEOF_if [114]
                0.00    0.00     186/20287929     regCdr [9]
                0.00    0.00     186/1548203     regCar [36]
                0.00    0.00       1/1           isPrimitive_if [120]
                0.00    0.00       1/1           pushInputPort_if [121]
                0.00    0.00       1/1           popInputPort_if [122]
                0.00    0.00       1/1           openInputFile_if [123]
                0.00    0.00       1/1           closeInputPort_if [124]
                0.00    0.00       1/1           initStack_if [125]
                0.00    0.00       1/1           exit_if [126]
                0.00    0.00       4/4           newline_if [130]
                0.00    0.00     186/186         regGetPrimitive [131]
                0.00    0.00       1/1           display_if [141]
                0.00    0.00       1/1           list_if [165]
-----------------------------------------------
                0.00    3.43       2/2           executeOperationExp [16]
[17]    27.4    0.00    3.43       2         read_if [17]
                0.00    3.43       2/6           readPort [4]
                0.00    0.00       2/185         checkArgs [104]
                0.00    0.00       1/18          currentInputPort [134]
-----------------------------------------------
                0.00    0.00       1/34244097     regIsPrimitive [174]
                0.00    0.00       2/34244097     regIsCharacter [173]
                0.00    0.00       2/34244097     regIsEOF [172]
                0.00    0.00       3/34244097     regIsInputPort [171]
                0.00    0.00       3/34244097     regIsNumber [170]
                0.00    0.00       4/34244097     regIsString [166]
                0.00    0.00       5/34244097     regCloseInputPort [163]
                0.00    0.00       5/34244097     regGetOutputPortFile [161]
                0.00    0.00       5/34244097     regDisplayToCurrentPort [143]
                0.00    0.00       5/34244097     regGetString [162]
                0.00    0.00      10/34244097     regIsEqOutputPort [156]
                0.00    0.00      11/34244097     regGetInputPortYYBuffer [154]
                0.00    0.00      12/34244097     regIsEqInputPort [153]
                0.00    0.00      26/34244097     regIsTrue [146]
                0.00    0.00     185/34244097     regListLength [118]
                0.00    0.00     186/34244097     regGetPrimitive [131]
                0.00    0.00     326/34244097     regVectorSet [115]
                0.00    0.00     334/34244097     regHashSymbol [113]
                0.00    0.00     334/34244097     regVectorRef [111]
                0.00    0.00     910/34244097     regGetNumber [116]
                0.00    0.00    5398/34244097     regIsSymbol [103]
                0.00    0.00    8081/34244097     regGetSymbol [98]
                0.00    0.00   14178/34244097     regSetCar [83]
                0.00    0.00   27388/34244097     regSetCdr [72]
                0.00    0.00   35375/34244097     regIsPairPointer [94]
                0.00    0.00   41566/34244097     regGetPairPointer [74]
                0.00    0.00   52666/34244097     regIsEq [71]
                0.00    0.00   53486/34244097     regCopy [67]
                0.00    0.01  188644/34244097     cons [59]
                0.01    0.10 1447296/34244097     regIsEqual [45]
